year,crop,values
1997,corn for grain,3182437383.306567
1997,corn for silage,8213574947.107792
1997,wheat,844588260.057286
1997,oats,82881014.09732041
1997,barley,242310656.21595854
1997,sorghum for grain,37090484.27827765
1997,sorghum for silage,63606131.5437293
1997,potatoes,163699541.9725137
1997,rye,7567144.314828351
1997,alfalfa hay,1635028276.158349
1997,other hay,3268930793.8009834
1997,soybeans,939211334.4099926
1997,cropland pasture,359322046.8606624
1997,noncropland pasture,193190915.90205687
1997,rice,0
1997,peanuts,11446506.58855421
1997,grass,0
1997,winter rye,0
1997,CGF,24823255.27796012
1997,CGM,4513319.141447302
1997,DGS,0
2002,corn for grain,2116398749.6206326
2002,corn for silage,7276584242.78345
2002,wheat,686982313.0968724
2002,oats,64281234.73846198
2002,barley,205760950.37244016
2002,sorghum for grain,7277220.1053248905
2002,sorghum for silage,70854991.7117498
2002,potatoes,141695654.55626544
2002,rye,15043424.822830306
2002,alfalfa hay,1567139191.6738076
2002,other hay,2766467534.5707297
2002,soybeans,695161774.2369355
2002,cropland pasture,277457689.51781034
2002,noncropland pasture,217060771.69890147
2002,rice,0
2002,peanuts,8051296.601891497
2002,grass,0
2002,winter rye,0
2002,CGF,18370509.372744206
2002,CGM,3340092.613226222
2002,DGS,0
2007,corn for grain,3898540169.3938255
2007,corn for silage,8417750057.851634
2007,wheat,725747993.5049357
2007,oats,37720061.97632649
2007,barley,165451832.93543202
2007,sorghum for grain,10085828.86351659
2007,sorghum for silage,52370830.816685475
2007,potatoes,132035067.36985692
2007,rye,10771485.478414258
2007,alfalfa hay,1232223164.0357854
2007,other hay,2958051831.8550386
2007,soybeans,824292673.675456
2007,cropland pasture,134672617.5560355
2007,noncropland pasture,261379288.92566895
2007,rice,0
2007,peanuts,2969136.6086308407
2007,grass,0
2007,winter rye,0
2007,CGF,14631978.890447738
2007,CGM,2660359.7982632266
2007,DGS,0
2012,corn for grain,4354505081.909786
2012,corn for silage,8355671320.342801
2012,wheat,816327857.8313804
2012,oats,40968955.56802116
2012,barley,216320775.97815415
2012,sorghum for grain,28019475.62265724
2012,sorghum for silage,195945020.43521482
2012,potatoes,71211673.58632427
2012,rye,11339636.483461337
2012,alfalfa hay,1056081449.3264837
2012,other hay,3202896700.658095
2012,soybeans,1464794921.3096995
2012,cropland pasture,44842073.05582703
2012,noncropland pasture,275327048.36058444
2012,rice,0
2012,peanuts,4745894.788796999
2012,grass,0
2012,winter rye,0
2012,CGF,13384944.8762022
2012,CGM,2433626.3411276704
2012,DGS,174673685.71807337
2017,corn for grain,5838063082.393194
2017,corn for silage,8145353201.79915
2017,wheat,753200731.5954384
2017,oats,28658416.264061335
2017,barley,134472025.49467283
2017,sorghum for grain,35440914.94765849
2017,sorghum for silage,96035309.01704752
2017,potatoes,62802927.78900191
2017,rye,16722277.461188566
2017,alfalfa hay,1011161177.2779318
2017,other hay,2976586874.7109556
2017,soybeans,1816471685.6389
2017,cropland pasture,54157646.57874446
2017,noncropland pasture,240522260.95442617
2017,rice,0
2017,peanuts,8542250.226698728
2017,grass,0
2017,winter rye,0
2017,CGF,14704078.900571864
2017,CGM,2673468.891013065
2017,DGS,175313548.35081026
2022,corn for grain,5820868041.95278
2022,corn for silage,6017927305.61352
2022,wheat,857739265.9776808
2022,oats,33184734.949471235
2022,barley,97635362.330102
2022,sorghum for grain,32086931.927896097
2022,sorghum for silage,57685410.68399327
2022,potatoes,62802927.78900191
2022,rye,22613053.87483935
2022,alfalfa hay,732300662.534462
2022,other hay,2463666841.4980273
2022,soybeans,1740870452.8679082
2022,cropland pasture,46665528.10414136
2022,noncropland pasture,215101730.88405323
2022,rice,0
2022,peanuts,8169274.312703126
2022,grass,0
2022,winter rye,0
2022,CGF,14660770.490270972
2022,CGM,2665594.6345947245
2022,DGS,175313548.35081026
